"x" "y" "Q" "10x10" "20x20" "ha4plot" "Forest" "uneqID"
"267" 603366.33874 647278.40608 "3" "2" "G" "1" "A1" "2G1A1"
"268" 603356.52247 647276.49799 "3" "2" "G" "1" "A1" "2G1A1"
"269" 603360.33865 647256.865449999 "4" "3" "G" "1" "A1" "3G1A1"
"270" 603370.15492 647258.773539999 "4" "3" "G" "1" "A1" "3G1A1"
"271" 603368.24683 647268.58981 "4" "3" "G" "1" "A1" "3G1A1"
"272" 603358.43056 647266.68172 "4" "3" "G" "1" "A1" "3G1A1"
"273" 603360.33865 647256.865449999 "1" "1" "N" "1" "A1" "1N1A1"
"274" 603362.24674 647247.04918 "1" "1" "N" "1" "A1" "1N1A1"
"275" 603352.43047 647245.141089999 "1" "1" "N" "1" "A1" "1N1A1"
"276" 603350.52238 647254.957359999 "1" "1" "N" "1" "A1" "1N1A1"
"277" 603370.15492 647258.773539999 "2" "4" "N" "1" "A1" "4N1A1"
"278" 603372.06301 647248.95727 "2" "4" "N" "1" "A1" "4N1A1"
"279" 603362.24674 647247.04918 "2" "4" "N" "1" "A1" "4N1A1"
"280" 603360.33865 647256.865449999 "2" "4" "N" "1" "A1" "4N1A1"
"281" 603362.24674 647247.04918 "3" "2" "N" "1" "A1" "2N1A1"
"282" 603364.15483 647237.23291 "3" "2" "N" "1" "A1" "2N1A1"
"283" 603354.33856 647235.32482 "3" "2" "N" "1" "A1" "2N1A1"
"284" 603352.43047 647245.141089999 "3" "2" "N" "1" "A1" "2N1A1"
"285" 603372.06301 647248.95727 "4" "3" "N" "1" "A1" "3N1A1"
"286" 603362.24674 647247.04918 "4" "3" "N" "1" "A1" "3N1A1"
"287" 603364.15483 647237.23291 "4" "3" "N" "1" "A1" "3N1A1"
"288" 603373.9711 647239.141 "4" "3" "N" "1" "A1" "3N1A1"
"289" 603354.33856 647235.32482 "1" "1" "Q" "1" "A1" "1Q1A1"
"290" 603364.15483 647237.232909999 "1" "1" "Q" "1" "A1" "1Q1A1"
