"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"174" 604296.4324745 648216.445197999 1 4 "K" 1 "A1" "4K1A1"
"175" 604296.45367375 648226.648222506 1 4 "K" 1 "A1" "4K1A1"
"176" 604286.257025 648226.374549985 1 4 "K" 1 "A1" "4K1A1"
"177" 604316.8280035 648217.013914019 2 1 "L" 1 "A1" "1L1A1"
"178" 604316.84697125 648227.195567459 2 1 "L" 1 "A1" "1L1A1"
"179" 604327.04362 648227.46923995 2 1 "L" 1 "A1" "1L1A1"
"180" 604327.025768 648217.298272014 2 1 "L" 1 "A1" "1L1A1"
"181" 604316.84697125 648227.195567459 4 2 "L" 1 "A1" "2L1A1"
"182" 604316.865939 648237.377220958 4 2 "L" 1 "A1" "2L1A1"
"183" 604327.061472 648237.640207946 4 2 "L" 1 "A1" "2L1A1"
"184" 604327.04362 648227.46923995 4 2 "L" 1 "A1" "2L1A1"
"185" 604306.6503225 648226.921894968 3 3 "L" 1 "A1" "3L1A1"
"186" 604306.670406 648237.114233971 3 3 "L" 1 "A1" "3L1A1"
"187" 604316.865939 648237.377220958 3 3 "L" 1 "A1" "3L1A1"
"188" 604316.84697125 648227.195567459 3 3 "L" 1 "A1" "3L1A1"
"189" 604306.630239 648216.729556024 1 4 "L" 1 "A1" "4L1A1"
"190" 604306.6503225 648226.921894968 1 4 "L" 1 "A1" "4L1A1"
"191" 604316.84697125 648227.195567459 1 4 "L" 1 "A1" "4L1A1"
"192" 604316.8280035 648217.013914019 1 4 "L" 1 "A1" "4L1A1"
"193" 604337.2235325 648217.582630038 2 1 "M" 1 "A1" "1M1A1"
"194" 604337.24026875 648227.742912531 2 1 "M" 1 "A1" "1M1A1"
"195" 604347.4369175 648228.016585112 2 1 "M" 1 "A1" "1M1A1"
"196" 604347.421297 648217.866988063 2 1 "M" 1 "A1" "1M1A1"
"197" 604337.24026875 648227.742912531 4 2 "M" 1 "A1" "2M1A1"
"198" 604337.257005 648237.903195024 4 2 "M" 1 "A1" "2M1A1"
"199" 604347.452538 648238.166182101 4 2 "M" 1 "A1" "2M1A1"
"200" 604347.4369175 648228.016585112 4 2 "M" 1 "A1" "2M1A1"
"201" 604327.04362 648227.46923995 3 3 "M" 1 "A1" "3M1A1"
"202" 604327.061472 648237.640207946 3 3 "M" 1 "A1" "3M1A1"
"203" 604337.257005 648237.903195024 3 3 "M" 1 "A1" "3M1A1"
"204" 604337.24026875 648227.742912531 3 3 "M" 1 "A1" "3M1A1"
"205" 604327.025768 648217.298272014 1 4 "M" 1 "A1" "4M1A1"
"206" 604327.04362 648227.46923995 1 4 "M" 1 "A1" "4M1A1"
"207" 604337.24026875 648227.742912531 1 4 "M" 1 "A1" "4M1A1"
"208" 604337.2235325 648217.582630038 1 4 "M" 1 "A1" "4M1A1"
"209" 604357.6190615 648218.151346058 2 1 "N" 1 "A1" "1N1A1"
"210" 604357.63356625 648228.290257603 2 1 "N" 1 "A1" "1N1A1"
"211" 604367.830215 648228.563930094 2 1 "N" 1 "A1" "1N1A1"
"212" 604367.816826 648218.435704052 2 1 "N" 1 "A1" "1N1A1"
"213" 604357.63356625 648228.290257603 4 2 "N" 1 "A1" "2N1A1"
"214" 604357.648071 648238.429169089 4 2 "N" 1 "A1" "2N1A1"
"215" 604367.843604 648238.692156076 4 2 "N" 1 "A1" "2N1A1"
"216" 604367.830215 648228.563930094 4 2 "N" 1 "A1" "2N1A1"
"217" 604347.4369175 648228.016585112 3 3 "N" 1 "A1" "3N1A1"
"218" 604347.452538 648238.166182101 3 3 "N" 1 "A1" "3N1A1"
"219" 604357.648071 648238.429169089 3 3 "N" 1 "A1" "3N1A1"
"220" 604357.63356625 648228.290257603 3 3 "N" 1 "A1" "3N1A1"
"221" 604347.421297 648217.866988063 1 4 "N" 1 "A1" "4N1A1"
"222" 604347.4369175 648228.016585112 1 4 "N" 1 "A1" "4N1A1"
"223" 604357.63356625 648228.290257603 1 4 "N" 1 "A1" "4N1A1"
"224" 604357.6190615 648218.151346058 1 4 "N" 1 "A1" "4N1A1"
"225" 604378.0145905 648218.720062107 2 1 "O" 1 "A1" "1O1A1"
"226" 604378.02686375 648228.837602586 2 1 "O" 1 "A1" "1O1A1"
"227" 604388.2235125 648229.111275077 2 1 "O" 1 "A1" "1O1A1"
"228" 604388.212355 648219.004420161 2 1 "O" 1 "A1" "1O1A1"
"229" 604378.02686375 648228.837602586 4 2 "O" 1 "A1" "2O1A1"
"230" 604378.039137 648238.955143094 4 2 "O" 1 "A1" "2O1A1"
"231" 604388.23467 648239.218130112 4 2 "O" 1 "A1" "2O1A1"
"232" 604388.2235125 648229.111275077 4 2 "O" 1 "A1" "2O1A1"
"233" 604367.830215 648228.563930094 3 3 "O" 1 "A1" "3O1A1"
"234" 604367.843604 648238.692156076 3 3 "O" 1 "A1" "3O1A1"
"235" 604378.039137 648238.955143094 3 3 "O" 1 "A1" "3O1A1"
"236" 604378.02686375 648228.837602586 3 3 "O" 1 "A1" "3O1A1"
"237" 604367.816826 648218.435704052 1 4 "O" 1 "A1" "4O1A1"
"238" 604367.830215 648228.563930094 1 4 "O" 1 "A1" "4O1A1"
"239" 604378.02686375 648228.837602586 1 4 "O" 1 "A1" "4O1A1"
"240" 604378.0145905 648218.720062107 1 4 "O" 1 "A1" "4O1A1"
"241" 604377.990044 648198.48498112 2 1 "P" 1 "A1" "1P1A1"
"242" 604378.00231725 648208.602521658 2 1 "P" 1 "A1" "1P1A1"
"243" 604388.2011975 648208.897565246 2 1 "P" 1 "A1" "1P1A1"
"244" 604388.19004 648198.790710092 2 1 "P" 1 "A1" "1P1A1"
"245" 604378.00231725 648208.602521658 4 2 "P" 1 "A1" "2P1A1"
"246" 604378.0145905 648218.720062107 4 2 "P" 1 "A1" "2P1A1"
"247" 604388.212355 648219.004420161 4 2 "P" 1 "A1" "2P1A1"
"248" 604388.2011975 648208.897565246 4 2 "P" 1 "A1" "2P1A1"
