"index" "site" "blockN" "blockL" "plot" "sp" "sdlrep" "wl" "origin" "mother" "name" "poss" "x" "y" "ztopo" "per.water.feb" "per.water.mar" "per.water.may" "light" "sand" "time" "mortality" "f.time" "height" "dia" "Tbio" "cdia" "rgr" "flood" "wden"
"66" 257 "A1" 1 "a" 1 "Sfal" 1 "L" "Mud" "Sfal1" "Sfal1" 2 0 40 27.2533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 10.2921716924255 1.81 NA NA "Sfal"
"67" 1793 "A1" 1 "a" 1 "Sfal" 4 "L" "Mud" "Sfal1" "Sfal4" 3 0 80 23.2533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 15.2053084433746 2.2 NA NA "Sfal"
"68" 1985 "A1" 1 "a" 1 "Sbec" 4 "L" "Mud" "Sbec1" "Sbec4" 4 0 120 21.6533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 14.5220120412188 2.15 NA NA "Sbec"
"69" 1953 "A1" 1 "a" 1 "Sgib" 4 "L" "Mud" "Sgib1" "Sgib4" 5 0 160 21.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 7.94226038754036 1.59 NA NA "Sgib"
"70" 353 "A1" 1 "a" 1 "Spau" 1 "L" NA "Spau1" "Spau1" 6 0 200 23.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 30.7778690679538 3.13 NA NA "Spau"
"71" 321 "A1" 1 "a" 1 "Ssem" 1 "L" "All" "Ssem1" "Ssem1" 7 0 240 21.5533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 24.2794846640034 2.78 NA NA "Ssem"
"72" 577 "A1" 1 "a" 1 "Ptom" 2 "L" "Mud" "PtomRDC2m" "bPtom2" 8 0 280 27.5533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 27.1546702605687 2.94 NA NA "Ptom"
"73" 609 "A1" 1 "a" 1 "Ssmi" 2 "L" "Mud" "9HSsmi4m" "cSsmi2" 9 40 0 27.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 28.4631436007889 3.01 NA NA "Ssmi"
"74" 1857 "A1" 1 "a" 1 "Ssem" 4 "L" "All" "Ssem1" "Ssem4" 10 40 40 27.6533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 25.1607014033353 2.83 NA NA "Ssem"
"75" 97 "A1" 1 "a" 1 "Ssmi" 1 "L" "Mud" "Ssmi2m" "aSsmi1" 11 40 80 23.0533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 18.5507904601824 2.43 NA NA "Ssmi"
"76" 1537 "A1" 1 "a" 1 "Sxan" 4 "L" "All" "9KSxan2a" "hSxan4" 12 40 120 22.9533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 13.0740519871793 2.04 NA NA "Sxan"
"77" 769 "A1" 1 "a" 1 "Sfal" 2 "L" "Mud" "Sfal1" "Sfal2" 13 40 160 22.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 12.8189546637078 2.02 NA NA "Sfal"
"78" 929 "A1" 1 "a" 1 "Sgib" 2 "L" "Mud" "Sgib1" "Sgib2" 14 40 200 20.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 7.35415424278835 1.53 NA NA "Sgib"
"79" 385 "A1" 1 "a" 1 "Dry" 1 "L" NA "Dry1" "Dry1" 15 40 240 19.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 16.9093082986817 2.32 NA NA "Dry"
"80" 289 "A1" 1 "a" 1 "Swal" 1 "L" NA "Swal1" "Swal1" 16 40 280 19.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 40.7150407905237 3.6 NA NA "Swal"
"81" 1825 "A1" 1 "a" 1 "Swal" 4 "L" NA "Swal1" "Swal4" 17 80 0 25.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 47.5388941933861 3.89 NA NA "Swal"
"82" 1505 "A1" 1 "a" 1 "Smac" 3 "L" "Mud" "Smac1" "Smac3" 18 80 40 26.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 18.7037860224122 2.44 NA NA "Smac"
"83" 545 "A1" 1 "a" 1 "Pmal" 2 "L" "Mud" "8LPmal9m" "bPmal2" 19 80 80 24.4533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 6.9746498502347 1.49 NA NA "Pmal"
"84" 225 "A1" 1 "a" 1 "Smec" 1 "L" "All" "Smec1" "Smec1" 20 80 120 24.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 102.070345315132 5.7 NA NA "Smec"
"85" 961 "A1" 1 "a" 1 "Sbec" 2 "L" "Mud" "Sbec1" "Sbec2" 21 80 160 22.2533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 27.8985994009388 2.98 NA NA "Sbec"
"86" 481 "A1" 1 "a" 1 "Smac" 1 "L" "Mud" "Smac1" "Smac1" 22 80 200 23.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 28.8426479933425 3.03 NA NA "Smac"
"87" 1 "A1" 1 "a" 1 "Sxan" 1 "L" "Mud" "Sxan3RDCm" "eSxan1" 23 80 240 20.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 7.16314540945009 1.51 NA NA "Sxan"
"88" 1281 "A1" 1 "a" 1 "Sfal" 3 "L" "Mud" "Sfal1" "Sfal3" 24 80 280 21.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 8.97270277791781 1.69 NA NA "Sfal"
"89" 865 "A1" 1 "a" 1 "Spau" 2 "L" NA "Spau1" "Spau2" 25 120 0 23.6533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 13.2025431267111 2.05 NA NA "Spau"
"90" 1121 "A1" 1 "a" 1 "Ssmi" 3 "L" "All" "Ssmi3a" "dSsmi3" 26 120 40 22.5533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 23.7582944427728 2.75 NA NA "Ssmi"
"91" 1025 "A1" 1 "a" 1 "Sxan" 3 "L" "All" "Sxan2OUa" "gSxan3" 27 120 80 23.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 93.6559035517575 5.46 NA NA "Sxan"
"92" 1889 "A1" 1 "a" 1 "Spau" 4 "L" NA "Spau1" "Spau4" 28 120 120 24.5533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 12.9461891661782 2.03 NA NA "Spau"
"93" 161 "A1" 1 "a" 1 "Spar" 1 "L" "Mud" "9QSpar10" "aSpar1" 29 120 160 34.7533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 11.9459060652752 1.95 NA NA "Spar"
"94" 1153 "A1" 1 "a" 1 "Slep" 3 "L" "All" "8PSlep2a" "eSlep3" 30 120 200 24.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 26.0576261059352 2.88 NA NA "Slep"
"95" 513 "A1" 1 "a" 1 "Sxan" 2 "L" "Mud" "8MSxan3m" "dSxan2" 31 120 240 23.3533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 26.786475601568 2.92 NA NA "Sxan"
"96" 1249 "A1" 1 "a" 1 "Smec" 3 "L" "All" "Smec1" "Smec3" 32 120 280 32.7533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 59.1737825859559 4.34 NA NA "Smec"
"97" 705 "A1" 1 "a" 1 "Sacu" 2 "L" "Mud" "8MSacu2" "aSacu2" 33 160 0 22.5533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 6.9746498502347 1.49 NA NA "Sacu"
"98" 1601 "A1" 1 "a" 1 "Ptom" 4 "L" "All" "PtomRDC4a" "fPtom4" 34 160 40 23.8533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 8.97270277791781 1.69 NA NA "Ptom"
"99" 1089 "A1" 1 "a" 1 "Ptom" 3 "L" "All" "Allptom4a" "hPtom3" 35 160 80 23.1533333333333 31.195153385 22.6 NA 32 53.849 0 0 "0" NA NA 7.64537988177612 1.56 NA NA "Ptom"
